"timestamp","power","anomaly"
1346437800,90.6,0
1346438400,105.13,0
1346439000,92.44,0
1346439600,97.55,0
1346440200,107.95,0
1346440800,92.83,0
1346441400,97.46,0
1346442000,104.88,0
1346442600,98.66,0
1346443200,93.9,0
1346443800,105.88,0
1346444400,98.37,0
1346445000,91.28,0
1346445600,103.84,0
1346446200,102.17,0
1346446800,89.04,0
1346447400,105.7,0
1346448000,102.38,0
1346448600,87.2,0
1346449200,107.99,0
1346449800,100.19,0
1346450400,90.29,0
1346451000,105.91,0
1346451600,90.39,0
1346452200,100.52,0
1346452800,104.22,0
1346453400,84.66,0
1346454000,108.05,0
1346454600,88.76,0
1346455200,104.1,0
1346455800,100.75,0
1346456400,91.2,0
1346457000,106.02,0
1346457600,84.83,0
1346458200,104.78,0
1346458800,84.51,0
1346459400,104.99,0
1346460000,84.41,0
1346460600,105.51,0
1346461200,84.54,0
1346461800,97.15,0
1346462400,92.77,0
1346463000,84.23,0
1346463600,105.69,0
1346464200,84.45,0
1346464800,105.6,0
1346465400,85.26,0
1346466000,85.24,0
1346466600,103.96,0
1346467200,84.89,0
1346467800,85.09,0
1346468400,193.99,0
1346469000,370.1,1
1346469600,359.21,1
1346470200,280.3,0
1346470800,273.65,0
1346471400,190.19,0
1346472000,177.64,0
1346472600,182.72,0
1346473200,199.18,0
1346473800,169.36,0
1346474400,136.06,0
1346475000,163.49,0
1346475600,145.28,0
1346476200,147.08,0
1346476800,166.22,0
1346477400,147.84,0
1346478000,160.55,0
1346478600,157.49,0
1346479200,148.64,0
1346479800,168.61,0
1346480400,148.81,0
1346481000,153.38,0
1346481600,163.74,0
1346482200,148.81,0
1346482800,169.73,0
1346483400,151.1,0
1346484000,159,0
1346484600,156.19,0
1346485200,126.55,0
1346485800,147.75,0
1346486400,149.26,0
1346487000,1678.5,1
1346487600,690.83,1
1346488200,214.04,0
1346488800,1982,1
1346489400,175.65,0
1346490000,128.85,0
1346490600,146.03,0
1346491200,125.13,0
1346491800,145.68,0
1346492400,125.04,0
1346493000,145.75,0
1346493600,124.95,0
1346494200,145.85,0
1346494800,126.2,0
1346495400,208.42,0
1346496000,328.97,1
1346496600,539.18,1
1346497200,865.41,1
1346497800,732.79,1
1346498400,806.55,1
1346499000,527.68,1
1346499600,548.98,1
1346500200,593.72,1
1346500800,501.92,1
1346501400,544.45,1
1346502000,2167.17,1
1346502600,609.74,1
1346503200,1414.8,1
1346503800,1510.93,1
1346504400,487.86,1
1346505000,496.39,1
1346505600,497.72,1
1346506200,494.35,1
1346506800,495.79,1
1346507400,498.29,1
1346508000,483.11,1
1346508600,477.72,1
1346509200,472.61,1
1346509800,474.76,1
1346510400,475.8,1
1346511000,493.47,1
1346511600,488.91,1
1346512200,485.01,1
1346512800,498.7,1
1346513400,502.74,1
1346514000,483.73,1
1346514600,499.94,1
1346515200,506.37,1
1346515800,479.41,1
1346516400,504.61,1
1346517000,1112.6,1
1346517600,535.86,1
1346518200,477.84,1
1346518800,463.55,1
1346519400,450.85,1
1346520000,535.41,1
1346520600,313.94,1
1346521200,291.02,1
1346521800,287.64,0
1346522400,284.9,1
1346523000,283.23,1
1346523600,272.3,1
1346524200,271.9,1
1346524800,284.19,1
1346525400,281.38,1
1346526000,262.83,1
1346526600,263.02,1
1346527200,269.7,1
1346527800,282.44,1
1346528400,261.37,1
1346529000,275.72,1
1346529600,144.78,0
1346530200,109.95,0
1346530800,108.31,0
1346531400,101.24,0
1346532000,109.82,0
1346532600,101.68,0
1346533200,104.12,0
1346533800,106.42,0
1346534400,94.07,0
1346535000,115.41,0
1346535600,94.83,0
1346536200,111.34,0
1346536800,98,0
1346537400,93.44,0
1346538000,114.33,0
1346538600,94.37,0
1346539200,93.8,0
1346539800,113.52,0
1346540400,95.32,0
1346541000,93.92,0
1346541600,94.18,0
1346542200,114.34,0
1346542800,94.61,0
1346543400,95.23,0
1346544000,100.58,0
1346544600,107.76,0
1346545200,95.14,0
1346545800,95.6,0
1346546400,99.69,0
1346547000,119.42,0
1346547600,92.23,0
1346548200,91.73,0
1346548800,91.24,0
1346549400,109.45,0
1346550000,91.28,0
1346550600,89.74,0
1346551200,88.32,0
1346551800,99.35,0
1346552400,96.63,0
1346553000,88.13,0
1346553600,88.15,0
1346554200,88.42,0
1346554800,100.54,0
1346555400,94.94,0
1346556000,87.51,0
1346556600,87.49,0
1346557200,87.85,0
1346557800,235.63,0
1346558400,275.01,0
1346559000,153.16,0
1346559600,223.42,0
1346560200,157.27,0
1346560800,181.52,0
1346561400,136.69,0
1346562000,140.14,0
1346562600,159.84,0
1346563200,1956.82,1
1346563800,2083.46,1
1346564400,1552.95,1
1346565000,1147.7,1
1346565600,1195.29,1
1346566200,251.27,1
1346566800,192.21,0
1346567400,164.95,0
1346568000,114.56,0
1346568600,112.56,0
1346569200,132.13,0
1346569800,109.33,0
1346570400,116.76,0
1346571000,122.55,0
1346571600,111.08,0
1346572200,128.99,0
1346572800,111.22,0
1346573400,110.16,0
1346574000,132.84,0
1346574600,114.56,0
1346575200,129.89,0
1346575800,89.27,0
1346576400,108.42,0
1346577000,90.52,0
1346577600,103.76,0
1346578200,95.63,0
1346578800,103.99,0
1346579400,95.85,0
1346580000,108.55,0
1346580600,90.98,0
1346581200,111.73,0
1346581800,89.24,0
1346582400,109.2,0
1346583000,95.91,0
1346583600,100.75,0
1346584200,107.25,0
1346584800,91.36,0
