"timestamp","power","anomaly"
1404153000,276.1,1
1404153600,475.2,1
1404154200,2756.1,1
1404154800,2025.6,1
1404155400,1625.1,1
1404156000,1600.1,1
1404156600,951.1,1
1404157200,369.2,1
1404157800,284.6,1
1404158400,285.1,1
1404159000,352.1,1
1404159600,1007.5,1
1404160200,1537.4,1
1404160800,1135.3,1
1404161400,366.2,1
1404162000,276.6,1
1404162600,347.5,1
1404163200,1203,1
1404163800,1781.7,1
1404164400,1668.8,1
1404165000,1470.1,1
1404165600,685,1
1404166200,215.6,1
1404166800,114.6,0
1404167400,109.7,0
1404168000,163,1
1404168600,141.9,0
1404169200,89,0
1404169800,89.3,0
1404170400,731.6,1
1404171000,1271.8,1
1404171600,781.8,1
1404172200,120,0
1404172800,176.8,1
1404173400,89,0
1404174000,89,0
1404174600,146.5,0
1404175200,149.1,1
1404175800,89.5,0
1404176400,89.9,0
1404177000,404.3,1
1404177600,1296.1,1
1404178200,1236.9,1
1404178800,119.4,0
1404179400,200.1,1
1404180000,96.3,0
1404180600,89.1,0
1404181200,117.5,0
1404181800,220.4,1
1404182400,89.9,0
1404183000,89,0
1404183600,101.8,0
1404184200,938.4,1
1404184800,1228.1,1
1404185400,769.3,1
1404186000,116,0
1404186600,176.8,1
1404187200,89,0
1404187800,89,0
1404188400,113.6,1
1404189000,190.2,1
1404189600,89,0
1404190200,104.5,0
1404190800,124.4,1
1404191400,628.2,1
1404192000,1229.2,1
1404192600,854.8,1
1404193200,124.1,1
1404193800,192,1
1404194400,101.1,0
1404195000,101,0
1404195600,105.8,0
1404196200,213.3,1
1404196800,101,0
1404197400,109.2,0
1404198000,114,0
1404198600,223.8,1
1404199200,122.1,0
1404199800,113.7,0
1404200400,113.2,0
1404201000,218.2,1
1404201600,969.2,1
1404202200,1373,1
1404202800,1281.9,1
1404203400,356.4,1
1404204000,327.5,1
1404204600,473.2,1
1404205200,1468.4,1
1404205800,594.1,1
1404206400,241,0
1404207000,316.7,1
1404207600,2240.2,1
1404208200,3593.2,1
1404208800,2408.5,1
1404209400,1843.3,1
1404210000,1951.7,1
1404210600,1074,1
1404211200,232,1
1404211800,289.2,1
1404212400,1520.7,1
1404213000,1632,1
1404213600,1185,1
1404214200,224.9,1
1404214800,282.1,1
1404215400,312.6,1
1404216000,224.1,1
1404216600,243.6,1
1404217200,795.7,1
1404217800,1609,1
1404218400,934.9,1
1404219000,243,1
1404219600,318.4,1
1404220200,224.1,0
1404220800,223.9,1
1404221400,900.7,1
1404222000,3544.5,1
1404222600,2621.3,1
1404223200,2685.9,1
1404223800,2668.7,1
1404224400,2563.2,1
1404225000,2511.8,1
1404225600,1297,1
1404226200,1055.6,1
1404226800,2148.1,1
1404227400,2104.5,1
1404228000,2127.8,1
1404228600,942.1,1
1404229200,1094.5,1
1404229800,2868.4,1
1404230400,3093.4,1
1404231000,2975,1
1404231600,2907.8,1
1404232200,3045.9,1
1404232800,1856.8,0
1404233400,1864.1,0
1404234000,1833.4,0
1404234600,1272.2,0
1404235200,359.2,0
1404235800,488.6,0
1404236400,1724.9,1
1404237000,1780.2,1
1404237600,1150.3,1
1404238200,498.9,0
1404238800,504.4,0
1404239400,1640.3,1
1404240000,1737.2,1
